Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-16 12:28:37,2017-09-16 12:29:49,1m - 11.691s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-16 12:28:37,2017-09-16 12:28:52,15.203s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-16 12:28:38,2017-09-16 12:28:41,3.042s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-16 12:28:41,2017-09-16 12:28:42,1.216s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-16 12:28:42,2017-09-16 12:28:52,10.083s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 12:28:52,2017-09-16 12:28:52,0.241s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 12:28:52,2017-09-16 12:28:52,0.120s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 12:28:52,2017-09-16 12:28:52,0.139s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-16 12:28:52,2017-09-16 12:29:48,55.148s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-16 12:28:53,2017-09-16 12:28:58,5.019s,PASSED
selectOptionByValue,Chrome 60.0.3112.113,,2017-09-16 12:28:58,2017-09-16 12:29:48,49.938s,FAILED
