Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-17 12:43:55,2017-09-17 12:44:22,26.555s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-17 12:43:55,2017-09-17 12:44:04,8.276s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-17 12:43:56,2017-09-17 12:43:58,2.634s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-17 12:43:58,2017-09-17 12:43:59,1.140s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-17 12:43:59,2017-09-17 12:44:03,3.405s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 12:44:03,2017-09-17 12:44:03,0.393s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 12:44:03,2017-09-17 12:44:03,0.174s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:44:03,2017-09-17 12:44:04,0.160s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-17 12:44:04,2017-09-17 12:44:10,5.960s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 12:44:04,2017-09-17 12:44:09,5.014s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:44:09,2017-09-17 12:44:09,0.114s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:44:09,2017-09-17 12:44:09,0.108s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:44:09,2017-09-17 12:44:10,0.170s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-17 12:44:10,2017-09-17 12:44:21,10.926s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-17 12:44:10,2017-09-17 12:44:20,10.002s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 12:44:20,2017-09-17 12:44:20,0.074s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 12:44:20,2017-09-17 12:44:20,0.163s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 12:44:20,2017-09-17 12:44:20,0.099s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:44:20,2017-09-17 12:44:21,0.457s,FAILED
