Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-16 15:00:30,2017-09-16 15:01:13,43.300s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-16 15:00:30,2017-09-16 15:00:39,8.846s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-16 15:00:31,2017-09-16 15:00:34,3.117s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-16 15:00:34,2017-09-16 15:00:35,1.156s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-16 15:00:35,2017-09-16 15:00:38,3.397s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 15:00:38,2017-09-16 15:00:39,0.430s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 15:00:39,2017-09-16 15:00:39,0.149s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 15:00:39,2017-09-16 15:00:39,0.216s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-16 15:00:39,2017-09-16 15:00:45,6.067s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-16 15:00:40,2017-09-16 15:00:45,5.028s,PASSED
selectOptionByValue,Chrome 60.0.3112.113,,2017-09-16 15:00:45,2017-09-16 15:00:45,0.466s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 15:00:45,2017-09-16 15:00:45,0.095s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-16 15:00:45,2017-09-16 15:01:12,26.943s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-16 15:00:46,2017-09-16 15:00:56,10.003s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-16 15:00:56,2017-09-16 15:00:56,0.153s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-16 15:00:56,2017-09-16 15:00:56,0.249s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 15:00:56,2017-09-16 15:00:56,0.259s,PASSED
waitForPageLoad,Chrome 60.0.3112.113,,2017-09-16 15:00:56,2017-09-16 15:00:56,0.043s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 15:00:56,2017-09-16 15:01:12,15.997s,FAILED
