Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-16 12:22:20,2017-09-16 12:23:53,1m - 33.350s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-16 12:22:20,2017-09-16 12:22:39,18.753s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-16 12:22:20,2017-09-16 12:22:23,3.181s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-16 12:22:23,2017-09-16 12:22:25,1.158s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-16 12:22:25,2017-09-16 12:22:38,13.354s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 12:22:38,2017-09-16 12:22:38,0.312s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 12:22:38,2017-09-16 12:22:39,0.257s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 12:22:39,2017-09-16 12:22:39,0.119s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-16 12:22:39,2017-09-16 12:23:52,1m - 13.100s,FAILED
waitForPageLoad,Chrome 60.0.3112.113,,2017-09-16 12:22:39,2017-09-16 12:22:39,0.076s,PASSED
selectOptionByValue,Chrome 60.0.3112.113,,2017-09-16 12:22:39,2017-09-16 12:23:52,1m - 12.851s,FAILED
