Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite-CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-17 17:54:58,2017-09-17 17:58:46,3m - 48.046s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-17 17:54:58,2017-09-17 17:55:18,19.919s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-17 17:54:59,2017-09-17 17:55:01,2.888s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-17 17:55:01,2017-09-17 17:55:03,1.259s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-17 17:55:03,2017-09-17 17:55:18,14.844s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 17:55:18,2017-09-17 17:55:18,0.303s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 17:55:18,2017-09-17 17:55:18,0.120s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 17:55:18,2017-09-17 17:55:18,0.118s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-17 17:55:18,2017-09-17 17:55:24,5.572s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 17:55:18,2017-09-17 17:55:23,5.021s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 17:55:23,2017-09-17 17:55:24,0.150s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 17:55:24,2017-09-17 17:55:24,0.088s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 17:55:24,2017-09-17 17:55:24,0.132s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-17 17:55:24,2017-09-17 17:58:45,3m - 21.129s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-17 17:55:24,2017-09-17 17:55:34,10.004s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 17:55:34,2017-09-17 17:55:34,0.099s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 17:55:34,2017-09-17 17:55:36,2.002s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 17:55:36,2017-09-17 17:55:36,0.183s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 17:55:36,2017-09-17 17:55:38,2.003s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 17:55:38,2017-09-17 17:55:38,0.125s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 17:55:38,2017-09-17 17:55:40,2.002s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 17:55:40,2017-09-17 17:55:41,0.133s,PASSED
waitForPageLoad,Chrome 60.0.3112.113,,2017-09-17 17:55:41,2017-09-17 17:55:41,0.033s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 17:55:41,2017-09-17 17:55:43,2.751s,PASSED
