Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-16 14:30:30,2017-09-16 14:30:45,15.974s,PASSED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-16 14:30:30,2017-09-16 14:30:38,8.284s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-16 14:30:30,2017-09-16 14:30:33,2.766s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-16 14:30:33,2017-09-16 14:30:34,1.177s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-16 14:30:34,2017-09-16 14:30:37,3.295s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 14:30:37,2017-09-16 14:30:38,0.404s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 14:30:38,2017-09-16 14:30:38,0.118s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 14:30:38,2017-09-16 14:30:38,0.152s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-16 14:30:38,2017-09-16 14:30:44,6.029s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-16 14:30:39,2017-09-16 14:30:44,5.026s,PASSED
selectOptionByValue,Chrome 60.0.3112.113,,2017-09-16 14:30:44,2017-09-16 14:30:44,0.455s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 14:30:44,2017-09-16 14:30:44,0.089s,PASSED
