Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite-CreateMaterialRequisition,Chrome 61.0.3163.100,,2017-10-14 00:54:23,2017-10-14 00:55:54,1m - 30.820s,FAILED
,,,,,,
Test Cases/Login,Chrome 61.0.3163.100,,2017-10-14 00:54:23,2017-10-14 00:54:34,10.647s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-14 00:54:24,2017-10-14 00:54:26,2.807s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-14 00:54:26,2017-10-14 00:54:28,1.162s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-14 00:54:28,2017-10-14 00:54:33,5.414s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-14 00:54:33,2017-10-14 00:54:33,0.343s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-14 00:54:33,2017-10-14 00:54:34,0.194s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 00:54:34,2017-10-14 00:54:34,0.185s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 61.0.3163.100,,2017-10-14 00:54:34,2017-10-14 00:54:40,6.202s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 00:54:34,2017-10-14 00:54:39,5.031s,PASSED
takeScreenshot,Chrome 61.0.3163.100,,2017-10-14 00:54:39,2017-10-14 00:54:39,0.391s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 00:54:39,2017-10-14 00:54:40,0.162s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 00:54:40,2017-10-14 00:54:40,0.138s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 00:54:40,2017-10-14 00:54:40,0.147s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 61.0.3163.100,,2017-10-14 00:54:40,2017-10-14 00:55:53,1m - 12.546s,FAILED
delay,Chrome 61.0.3163.100,Delay 1 second,2017-10-14 00:54:40,2017-10-14 00:54:42,2.003s,PASSED
mouseOver,Chrome 61.0.3163.100,Mouse Hover On Requisition Menu,2017-10-14 00:54:42,2017-10-14 00:54:42,0.086s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 00:54:42,2017-10-14 00:54:44,2.002s,PASSED
mouseOver,Chrome 61.0.3163.100,Mouse Hover On Create Requisition Sub Menu,2017-10-14 00:54:44,2017-10-14 00:54:44,0.066s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 00:54:44,2017-10-14 00:54:46,2.004s,PASSED
mouseOver,Chrome 61.0.3163.100,Mouse Hover On Create Material Requisition Sub Sub-Menu,2017-10-14 00:54:46,2017-10-14 00:54:47,0.065s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 00:54:47,2017-10-14 00:54:49,2.004s,PASSED
takeScreenshot,Chrome 61.0.3163.100,,2017-10-14 00:54:49,2017-10-14 00:54:49,0.351s,PASSED
click,Chrome 61.0.3163.100,Click On Create Material Requisition,2017-10-14 00:54:49,2017-10-14 00:54:49,0.083s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-14 00:54:49,2017-10-14 00:54:49,0.077s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 00:54:49,2017-10-14 00:54:51,2.261s,PASSED
setText,Chrome 61.0.3163.100,Input Material Requisition Name,2017-10-14 00:54:51,2017-10-14 00:54:52,0.463s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 00:54:52,2017-10-14 00:54:52,0.103s,PASSED
setText,Chrome 61.0.3163.100,Click Material Requisition Request To Field,2017-10-14 00:54:52,2017-10-14 00:54:52,0.416s,PASSED
click,Chrome 61.0.3163.100,Select Material Requisition Request To Field,2017-10-14 00:54:52,2017-10-14 00:54:53,1.135s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 00:54:53,2017-10-14 00:54:54,0.136s,PASSED
setText,Chrome 61.0.3163.100,Input Receiver Name,2017-10-14 00:54:54,2017-10-14 00:54:54,0.249s,PASSED
click,Chrome 61.0.3163.100,Select Receiver,2017-10-14 00:54:54,2017-10-14 00:54:55,1.127s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 00:54:55,2017-10-14 00:54:57,2.003s,PASSED
setText,Chrome 61.0.3163.100,Input orginal Requester,2017-10-14 00:54:57,2017-10-14 00:54:57,0.309s,PASSED
setText,Chrome 61.0.3163.100,Input Phone Number,2017-10-14 00:54:57,2017-10-14 00:54:58,0.257s,PASSED
