Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-16 15:29:06,2017-09-16 15:29:48,41.490s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-16 15:29:07,2017-09-16 15:29:14,7.785s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-16 15:29:07,2017-09-16 15:29:10,2.650s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-16 15:29:10,2017-09-16 15:29:11,1.139s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-16 15:29:11,2017-09-16 15:29:14,2.897s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 15:29:14,2017-09-16 15:29:14,0.320s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 15:29:14,2017-09-16 15:29:14,0.175s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 15:29:14,2017-09-16 15:29:14,0.137s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-16 15:29:14,2017-09-16 15:29:20,5.948s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-16 15:29:15,2017-09-16 15:29:20,5.017s,PASSED
selectOptionByValue,Chrome 60.0.3112.113,,2017-09-16 15:29:20,2017-09-16 15:29:20,0.694s,FAILED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-16 15:29:20,2017-09-16 15:29:47,26.425s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-16 15:29:20,2017-09-16 15:29:30,10.003s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-16 15:29:30,2017-09-16 15:29:31,0.105s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-16 15:29:31,2017-09-16 15:29:47,16.200s,FAILED
