Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-16 14:48:33,2017-09-16 14:49:00,27.407s,PASSED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-16 14:48:33,2017-09-16 14:48:42,9.358s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-16 14:48:33,2017-09-16 14:48:37,3.574s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-16 14:48:37,2017-09-16 14:48:38,1.171s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-16 14:48:38,2017-09-16 14:48:41,3.573s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 14:48:41,2017-09-16 14:48:42,0.342s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 14:48:42,2017-09-16 14:48:42,0.173s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 14:48:42,2017-09-16 14:48:42,0.123s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-16 14:48:42,2017-09-16 14:48:48,5.850s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-16 14:48:42,2017-09-16 14:48:47,5.021s,PASSED
selectOptionByValue,Chrome 60.0.3112.113,,2017-09-16 14:48:47,2017-09-16 14:48:48,0.456s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 14:48:48,2017-09-16 14:48:48,0.088s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-16 14:48:48,2017-09-16 14:48:59,10.684s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-16 14:48:48,2017-09-16 14:48:58,10.004s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-16 14:48:58,2017-09-16 14:48:58,0.158s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-16 14:48:58,2017-09-16 14:48:59,0.174s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 14:48:59,2017-09-16 14:48:59,0.204s,PASSED
waitForPageLoad,Chrome 60.0.3112.113,,2017-09-16 14:48:59,2017-09-16 14:48:59,0.037s,PASSED
