Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-17 12:32:28,2017-09-17 12:32:55,26.932s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-17 12:32:28,2017-09-17 12:32:37,8.967s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-17 12:32:29,2017-09-17 12:32:31,2.658s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-17 12:32:31,2017-09-17 12:32:32,1.171s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-17 12:32:32,2017-09-17 12:32:37,4.216s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 12:32:37,2017-09-17 12:32:37,0.314s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 12:32:37,2017-09-17 12:32:37,0.127s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:32:37,2017-09-17 12:32:37,0.110s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-17 12:32:37,2017-09-17 12:32:43,5.645s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 12:32:37,2017-09-17 12:32:42,5.017s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:32:42,2017-09-17 12:32:43,0.154s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:32:43,2017-09-17 12:32:43,0.110s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:32:43,2017-09-17 12:32:43,0.207s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-17 12:32:43,2017-09-17 12:32:54,10.890s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-17 12:32:43,2017-09-17 12:32:53,10.002s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 12:32:53,2017-09-17 12:32:53,0.138s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 12:32:53,2017-09-17 12:32:53,0.113s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 12:32:53,2017-09-17 12:32:53,0.060s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:32:53,2017-09-17 12:32:54,0.420s,FAILED
