Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite-CreateMaterialRequisition,Chrome 61.0.3163.100,,2017-10-14 01:23:47,2017-10-14 01:26:03,2m - 15.849s,FAILED
,,,,,,
Test Cases/Login,Chrome 61.0.3163.100,,2017-10-14 01:23:47,2017-10-14 01:23:59,11.130s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-14 01:23:48,2017-10-14 01:23:51,2.689s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-14 01:23:51,2017-10-14 01:23:52,1.158s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-14 01:23:52,2017-10-14 01:23:58,5.872s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-14 01:23:58,2017-10-14 01:23:58,0.482s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-14 01:23:58,2017-10-14 01:23:58,0.219s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 01:23:58,2017-10-14 01:23:59,0.176s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 61.0.3163.100,,2017-10-14 01:23:59,2017-10-14 01:24:51,52.026s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 01:23:59,2017-10-14 01:24:04,5.030s,PASSED
takeScreenshot,Chrome 61.0.3163.100,,2017-10-14 01:24:04,2017-10-14 01:24:49,45.070s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 01:24:49,2017-10-14 01:24:49,0.196s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 01:24:49,2017-10-14 01:24:51,1.152s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 01:24:51,2017-10-14 01:24:51,0.141s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 61.0.3163.100,,2017-10-14 01:24:51,2017-10-14 01:26:02,1m - 11.141s,FAILED
delay,Chrome 61.0.3163.100,Delay 1 second,2017-10-14 01:24:51,2017-10-14 01:24:53,2.003s,PASSED
mouseOver,Chrome 61.0.3163.100,Mouse Hover On Requisition Menu,2017-10-14 01:24:53,2017-10-14 01:24:53,0.083s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 01:24:53,2017-10-14 01:24:55,2.002s,PASSED
mouseOver,Chrome 61.0.3163.100,Mouse Hover On Create Requisition Sub Menu,2017-10-14 01:24:55,2017-10-14 01:24:55,0.066s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 01:24:55,2017-10-14 01:24:57,2.004s,PASSED
mouseOver,Chrome 61.0.3163.100,Mouse Hover On Create Material Requisition Sub Sub-Menu,2017-10-14 01:24:57,2017-10-14 01:24:57,0.068s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 01:24:57,2017-10-14 01:24:59,2.003s,PASSED
takeScreenshot,Chrome 61.0.3163.100,,2017-10-14 01:24:59,2017-10-14 01:25:00,0.332s,PASSED
click,Chrome 61.0.3163.100,Click On Create Material Requisition,2017-10-14 01:25:00,2017-10-14 01:25:00,0.076s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-14 01:25:00,2017-10-14 01:25:00,0.063s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 01:25:00,2017-10-14 01:25:02,1.715s,PASSED
setText,Chrome 61.0.3163.100,Input Material Requisition Name,2017-10-14 01:25:02,2017-10-14 01:25:03,1.044s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 01:25:03,2017-10-14 01:25:03,0.097s,PASSED
setText,Chrome 61.0.3163.100,Click Material Requisition Request To Field,2017-10-14 01:25:03,2017-10-14 01:25:03,0.498s,PASSED
click,Chrome 61.0.3163.100,Select Material Requisition Request To Field,2017-10-14 01:25:03,2017-10-14 01:25:04,1.137s,PASSED
setText,Chrome 61.0.3163.100,Input Receiver Name,2017-10-14 01:25:04,2017-10-14 01:25:05,0.332s,PASSED
click,Chrome 61.0.3163.100,Select Receiver,2017-10-14 01:25:05,2017-10-14 01:25:06,1.144s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 01:25:06,2017-10-14 01:25:08,2.002s,PASSED
setText,Chrome 61.0.3163.100,Input orginal Requester,2017-10-14 01:25:08,2017-10-14 01:25:08,0.305s,PASSED
setText,Chrome 61.0.3163.100,Input Phone Number,2017-10-14 01:25:08,2017-10-14 01:25:08,0.309s,PASSED
setText,Chrome 61.0.3163.100,Input Remarks,2017-10-14 01:25:08,2017-10-14 01:25:09,0.324s,PASSED
