Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Firefox 53.0,,2017-09-17 11:06:09,2017-09-17 11:07:35,1m - 26.501s,FAILED
,,,,,,
Test Cases/Login,Firefox 53.0,,2017-09-17 11:06:09,2017-09-17 11:06:46,36.828s,FAILED
openBrowser,Firefox 53.0,,2017-09-17 11:06:10,2017-09-17 11:06:17,7.623s,PASSED
maximizeWindow,Firefox 53.0,,2017-09-17 11:06:17,2017-09-17 11:06:17,0.175s,PASSED
navigateToUrl,Firefox 53.0,,2017-09-17 11:06:17,2017-09-17 11:06:29,11.232s,PASSED
setText,Firefox 53.0,,2017-09-17 11:06:29,2017-09-17 11:06:46,17.356s,FAILED
,,,,,,
Test Cases/SelectRole,Firefox 53.0,,2017-09-17 11:06:46,2017-09-17 11:07:08,21.597s,FAILED
delay,Firefox 53.0,,2017-09-17 11:06:46,2017-09-17 11:06:51,5.019s,PASSED
click,Firefox 53.0,,2017-09-17 11:06:51,2017-09-17 11:07:08,16.382s,FAILED
,,,,,,
Test Cases/CreateMaterialRequisition,Firefox 53.0,,2017-09-17 11:07:08,2017-09-17 11:07:35,26.886s,FAILED
delay,Firefox 53.0,,2017-09-17 11:07:08,2017-09-17 11:07:18,10.003s,PASSED
mouseOver,Firefox 53.0,,2017-09-17 11:07:18,2017-09-17 11:07:35,16.777s,FAILED
