Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-17 14:21:36,2017-09-17 14:22:16,40.025s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-17 14:21:36,2017-09-17 14:21:45,8.679s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-17 14:21:36,2017-09-17 14:21:39,3.175s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-17 14:21:39,2017-09-17 14:21:41,1.158s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-17 14:21:41,2017-09-17 14:21:44,3.493s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 14:21:44,2017-09-17 14:21:44,0.233s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 14:21:44,2017-09-17 14:21:44,0.130s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:21:44,2017-09-17 14:21:45,0.110s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-17 14:21:45,2017-09-17 14:21:50,5.544s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 14:21:45,2017-09-17 14:21:50,5.019s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:21:50,2017-09-17 14:21:50,0.137s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:21:50,2017-09-17 14:21:50,0.079s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:21:50,2017-09-17 14:21:50,0.115s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-17 14:21:50,2017-09-17 14:22:14,24.320s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-17 14:21:50,2017-09-17 14:22:00,10.002s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 14:22:00,2017-09-17 14:22:00,0.092s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 14:22:00,2017-09-17 14:22:02,2.002s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 14:22:02,2017-09-17 14:22:03,0.152s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 14:22:03,2017-09-17 14:22:05,2.002s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 14:22:05,2017-09-17 14:22:05,0.093s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 14:22:05,2017-09-17 14:22:07,2.002s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:22:07,2017-09-17 14:22:07,0.104s,PASSED
waitForPageLoad,Chrome 60.0.3112.113,,2017-09-17 14:22:07,2017-09-17 14:22:07,0.044s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:22:07,2017-09-17 14:22:08,1.672s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 14:22:08,2017-09-17 14:22:09,0.382s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:22:09,2017-09-17 14:22:09,0.098s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 14:22:09,2017-09-17 14:22:09,0.201s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:22:09,2017-09-17 14:22:11,1.465s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:22:11,2017-09-17 14:22:11,0.120s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 14:22:11,2017-09-17 14:22:11,0.221s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:22:11,2017-09-17 14:22:11,0.213s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 14:22:11,2017-09-17 14:22:11,0.222s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 14:22:11,2017-09-17 14:22:12,0.315s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 14:22:12,2017-09-17 14:22:12,0.258s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:22:12,2017-09-17 14:22:12,0.207s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:22:12,2017-09-17 14:22:12,0.154s,PASSED
waitForAngularLoad,Chrome 60.0.3112.113,,2017-09-17 14:22:12,2017-09-17 14:22:13,1.120s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:22:13,2017-09-17 14:22:14,0.224s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:22:14,2017-09-17 14:22:14,0.139s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:22:14,2017-09-17 14:22:14,0.127s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 14:22:14,2017-09-17 14:22:14,0.528s,FAILED
