Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-16 14:34:44,2017-09-16 14:35:00,15.944s,PASSED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-16 14:34:44,2017-09-16 14:34:53,8.463s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-16 14:34:45,2017-09-16 14:34:47,2.754s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-16 14:34:47,2017-09-16 14:34:49,1.179s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-16 14:34:49,2017-09-16 14:34:52,3.594s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 14:34:52,2017-09-16 14:34:52,0.279s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 14:34:52,2017-09-16 14:34:53,0.133s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 14:34:53,2017-09-16 14:34:53,0.151s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-16 14:34:53,2017-09-16 14:34:59,5.847s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-16 14:34:53,2017-09-16 14:34:58,5.023s,PASSED
selectOptionByValue,Chrome 60.0.3112.113,,2017-09-16 14:34:58,2017-09-16 14:34:59,0.456s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 14:34:59,2017-09-16 14:34:59,0.087s,PASSED
