Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-17 12:57:29,2017-09-17 12:58:07,37.769s,PASSED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-17 12:57:29,2017-09-17 12:57:39,9.889s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-17 12:57:30,2017-09-17 12:57:32,2.639s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-17 12:57:32,2017-09-17 12:57:33,1.164s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-17 12:57:33,2017-09-17 12:57:39,5.242s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 12:57:39,2017-09-17 12:57:39,0.243s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 12:57:39,2017-09-17 12:57:39,0.115s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:57:39,2017-09-17 12:57:39,0.110s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-17 12:57:39,2017-09-17 12:57:45,5.518s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 12:57:39,2017-09-17 12:57:44,5.021s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:57:44,2017-09-17 12:57:45,0.141s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:57:45,2017-09-17 12:57:45,0.087s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:57:45,2017-09-17 12:57:45,0.124s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-17 12:57:45,2017-09-17 12:58:06,20.956s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 12:57:45,2017-09-17 12:57:55,10.002s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 12:57:55,2017-09-17 12:57:55,0.095s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 12:57:55,2017-09-17 12:57:57,2.003s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 12:57:57,2017-09-17 12:57:57,0.181s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 12:57:57,2017-09-17 12:57:59,2.002s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 12:57:59,2017-09-17 12:57:59,0.090s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 12:57:59,2017-09-17 12:58:01,2.002s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:58:01,2017-09-17 12:58:01,0.108s,PASSED
waitForPageLoad,Chrome 60.0.3112.113,,2017-09-17 12:58:01,2017-09-17 12:58:02,0.047s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:58:02,2017-09-17 12:58:04,2.178s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 12:58:04,2017-09-17 12:58:04,0.342s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:58:04,2017-09-17 12:58:04,0.093s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 12:58:04,2017-09-17 12:58:04,0.185s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:58:04,2017-09-17 12:58:06,1.471s,PASSED
