Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite-CreateMaterialRequisition,Chrome 61.0.3163.100,,2017-09-28 19:01:38,2017-09-28 19:04:07,2m - 28.199s,FAILED
,,,,,,
Test Cases/Login,Chrome 61.0.3163.100,,2017-09-28 19:01:39,2017-09-28 19:01:51,12.214s,FAILED
openBrowser,Chrome 61.0.3163.100,,2017-09-28 19:01:39,2017-09-28 19:01:43,3.801s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-09-28 19:01:43,2017-09-28 19:01:44,1.184s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-09-28 19:01:44,2017-09-28 19:01:50,6.180s,PASSED
setText,Chrome 61.0.3163.100,,2017-09-28 19:01:50,2017-09-28 19:01:51,0.379s,PASSED
setText,Chrome 61.0.3163.100,,2017-09-28 19:01:51,2017-09-28 19:01:51,0.121s,PASSED
click,Chrome 61.0.3163.100,,2017-09-28 19:01:51,2017-09-28 19:01:51,0.113s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-09-28 19:01:51,2017-09-28 19:01:51,0.064s,FAILED
,,,,,,
Test Cases/SelectRole,Chrome 61.0.3163.100,,2017-09-28 19:01:51,2017-09-28 19:01:57,5.925s,PASSED
delay,Chrome 61.0.3163.100,,2017-09-28 19:01:51,2017-09-28 19:01:56,5.018s,PASSED
takeScreenshot,Chrome 61.0.3163.100,,2017-09-28 19:01:56,2017-09-28 19:01:57,0.395s,PASSED
click,Chrome 61.0.3163.100,,2017-09-28 19:01:57,2017-09-28 19:01:57,0.171s,PASSED
click,Chrome 61.0.3163.100,,2017-09-28 19:01:57,2017-09-28 19:01:57,0.097s,PASSED
click,Chrome 61.0.3163.100,,2017-09-28 19:01:57,2017-09-28 19:01:57,0.110s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 61.0.3163.100,,2017-09-28 19:01:57,2017-09-28 19:04:05,2m - 8.414s,FAILED
delay,Chrome 61.0.3163.100,Delay 1 second,2017-09-28 19:01:57,2017-09-28 19:01:59,2.003s,PASSED
mouseOver,Chrome 61.0.3163.100,Mouse Hover On Requisition Menu,2017-09-28 19:01:59,2017-09-28 19:01:59,0.104s,PASSED
delay,Chrome 61.0.3163.100,,2017-09-28 19:01:59,2017-09-28 19:02:01,2.002s,PASSED
mouseOver,Chrome 61.0.3163.100,Mouse Hover On Create Requisition Sub Menu,2017-09-28 19:02:01,2017-09-28 19:02:01,0.053s,PASSED
delay,Chrome 61.0.3163.100,,2017-09-28 19:02:01,2017-09-28 19:02:03,2.001s,PASSED
mouseOver,Chrome 61.0.3163.100,Mouse Hover On Create Material Requisition Sub Sub-Menu,2017-09-28 19:02:03,2017-09-28 19:02:04,0.049s,PASSED
delay,Chrome 61.0.3163.100,,2017-09-28 19:02:04,2017-09-28 19:02:06,2.002s,PASSED
takeScreenshot,Chrome 61.0.3163.100,,2017-09-28 19:02:06,2017-09-28 19:02:06,0.307s,PASSED
click,Chrome 61.0.3163.100,Click On Create Material Requisition,2017-09-28 19:02:06,2017-09-28 19:02:06,0.071s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-09-28 19:02:06,2017-09-28 19:02:06,0.056s,PASSED
click,Chrome 61.0.3163.100,,2017-09-28 19:02:06,2017-09-28 19:02:08,1.671s,PASSED
setText,Chrome 61.0.3163.100,Input Material Requisition Name,2017-09-28 19:02:08,2017-09-28 19:02:08,0.348s,PASSED
click,Chrome 61.0.3163.100,,2017-09-28 19:02:08,2017-09-28 19:02:08,0.097s,PASSED
setText,Chrome 61.0.3163.100,Click Material Requisition Request To Field,2017-09-28 19:02:08,2017-09-28 19:02:08,0.332s,PASSED
click,Chrome 61.0.3163.100,Select Material Requisition Request To Field,2017-09-28 19:02:08,2017-09-28 19:02:10,1.116s,PASSED
click,Chrome 61.0.3163.100,,2017-09-28 19:02:10,2017-09-28 19:02:10,0.188s,PASSED
setText,Chrome 61.0.3163.100,Input Receiver Name,2017-09-28 19:02:10,2017-09-28 19:02:10,0.229s,PASSED
click,Chrome 61.0.3163.100,Select Receiver,2017-09-28 19:02:10,2017-09-28 19:02:11,1.105s,PASSED
delay,Chrome 61.0.3163.100,,2017-09-28 19:02:11,2017-09-28 19:02:13,2.001s,PASSED
setText,Chrome 61.0.3163.100,Input orginal Requester,2017-09-28 19:02:13,2017-09-28 19:02:13,0.229s,PASSED
setText,Chrome 61.0.3163.100,Input Phone Number,2017-09-28 19:02:13,2017-09-28 19:02:14,0.298s,PASSED
setText,Chrome 61.0.3163.100,Input Remarks,2017-09-28 19:02:14,2017-09-28 19:02:14,0.352s,PASSED
delay,Chrome 61.0.3163.100,,2017-09-28 19:02:14,2017-09-28 19:02:15,1.000s,PASSED
click,Chrome 61.0.3163.100,Click On Item Details,2017-09-28 19:02:15,2017-09-28 19:02:15,0.214s,PASSED
delay,Chrome 61.0.3163.100,,2017-09-28 19:02:15,2017-09-28 19:02:16,1.003s,PASSED
