Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-16 15:33:32,2017-09-16 15:34:07,35.198s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-16 15:33:32,2017-09-16 15:33:40,7.735s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-16 15:33:32,2017-09-16 15:33:35,2.678s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-16 15:33:35,2017-09-16 15:33:36,1.164s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-16 15:33:36,2017-09-16 15:33:39,2.947s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 15:33:39,2017-09-16 15:33:39,0.313s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 15:33:39,2017-09-16 15:33:40,0.136s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 15:33:40,2017-09-16 15:33:40,0.133s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-16 15:33:40,2017-09-16 15:33:46,5.887s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-16 15:33:40,2017-09-16 15:33:45,5.019s,PASSED
selectOptionByValue,Chrome 60.0.3112.113,,2017-09-16 15:33:45,2017-09-16 15:33:46,0.711s,FAILED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-16 15:33:46,2017-09-16 15:34:06,20.166s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-16 15:33:46,2017-09-16 15:33:56,10.001s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-16 15:33:56,2017-09-16 15:33:56,0.078s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-16 15:33:56,2017-09-16 15:34:06,9.975s,FAILED
