Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-16 15:26:25,2017-09-16 15:27:06,41.443s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-16 15:26:25,2017-09-16 15:26:33,7.945s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-16 15:26:26,2017-09-16 15:26:29,2.948s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-16 15:26:29,2017-09-16 15:26:30,1.160s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-16 15:26:30,2017-09-16 15:26:33,2.899s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 15:26:33,2017-09-16 15:26:33,0.318s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 15:26:33,2017-09-16 15:26:33,0.123s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 15:26:33,2017-09-16 15:26:33,0.108s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-16 15:26:33,2017-09-16 15:26:39,5.953s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-16 15:26:34,2017-09-16 15:26:39,5.027s,PASSED
selectOptionByValue,Chrome 60.0.3112.113,,2017-09-16 15:26:39,2017-09-16 15:26:39,0.711s,FAILED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-16 15:26:39,2017-09-16 15:27:06,26.223s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-16 15:26:39,2017-09-16 15:26:49,10.003s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-16 15:26:49,2017-09-16 15:26:50,0.093s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-16 15:26:50,2017-09-16 15:27:06,16.015s,FAILED
