Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-16 15:24:34,2017-09-16 15:25:03,28.296s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-16 15:24:35,2017-09-16 15:24:43,8.290s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-16 15:24:35,2017-09-16 15:24:38,2.945s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-16 15:24:38,2017-09-16 15:24:39,1.157s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-16 15:24:39,2017-09-16 15:24:42,3.165s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 15:24:42,2017-09-16 15:24:43,0.309s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 15:24:43,2017-09-16 15:24:43,0.123s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 15:24:43,2017-09-16 15:24:43,0.128s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-16 15:24:43,2017-09-16 15:24:49,5.859s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-16 15:24:43,2017-09-16 15:24:48,5.034s,PASSED
selectOptionByValue,Chrome 60.0.3112.113,,2017-09-16 15:24:48,2017-09-16 15:24:49,0.474s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 15:24:49,2017-09-16 15:24:49,0.092s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-16 15:24:49,2017-09-16 15:25:02,12.753s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-16 15:24:49,2017-09-16 15:24:59,10.002s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-16 15:24:59,2017-09-16 15:24:59,0.157s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-16 15:24:59,2017-09-16 15:24:59,0.082s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 15:24:59,2017-09-16 15:24:59,0.168s,PASSED
waitForPageLoad,Chrome 60.0.3112.113,,2017-09-16 15:24:59,2017-09-16 15:24:59,0.038s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 15:24:59,2017-09-16 15:25:01,1.706s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 15:25:01,2017-09-16 15:25:02,0.427s,FAILED
