Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-17 12:51:47,2017-09-17 12:52:23,35.606s,PASSED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-17 12:51:48,2017-09-17 12:51:56,8.001s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-17 12:51:48,2017-09-17 12:51:51,2.617s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-17 12:51:51,2017-09-17 12:51:52,1.165s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-17 12:51:52,2017-09-17 12:51:55,3.350s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 12:51:55,2017-09-17 12:51:55,0.232s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 12:51:55,2017-09-17 12:51:55,0.133s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:51:55,2017-09-17 12:51:56,0.108s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-17 12:51:56,2017-09-17 12:52:01,5.532s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 12:51:56,2017-09-17 12:52:01,5.028s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:52:01,2017-09-17 12:52:01,0.127s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:52:01,2017-09-17 12:52:01,0.098s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:52:01,2017-09-17 12:52:01,0.121s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-17 12:52:01,2017-09-17 12:52:22,20.565s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 12:52:01,2017-09-17 12:52:11,10.002s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 12:52:11,2017-09-17 12:52:11,0.068s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 12:52:11,2017-09-17 12:52:13,2.002s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 12:52:13,2017-09-17 12:52:14,0.184s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 12:52:14,2017-09-17 12:52:16,2.003s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 12:52:16,2017-09-17 12:52:16,0.124s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 12:52:16,2017-09-17 12:52:18,2.002s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:52:18,2017-09-17 12:52:18,0.136s,PASSED
waitForPageLoad,Chrome 60.0.3112.113,,2017-09-17 12:52:18,2017-09-17 12:52:18,0.053s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:52:18,2017-09-17 12:52:20,1.699s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 12:52:20,2017-09-17 12:52:20,0.329s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:52:20,2017-09-17 12:52:20,0.092s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 12:52:20,2017-09-17 12:52:20,0.174s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:52:20,2017-09-17 12:52:22,1.550s,PASSED
