Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite-CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-17 18:51:53,2017-09-17 18:53:22,1m - 29.248s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-17 18:51:53,2017-09-17 18:52:02,8.200s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-17 18:51:54,2017-09-17 18:51:56,2.611s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-17 18:51:56,2017-09-17 18:51:57,1.156s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-17 18:51:57,2017-09-17 18:52:01,3.450s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 18:52:01,2017-09-17 18:52:01,0.357s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 18:52:01,2017-09-17 18:52:01,0.118s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:52:01,2017-09-17 18:52:02,0.139s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-17 18:52:02,2017-09-17 18:52:07,5.679s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 18:52:02,2017-09-17 18:52:07,5.038s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:52:07,2017-09-17 18:52:07,0.111s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:52:07,2017-09-17 18:52:07,0.097s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:52:07,2017-09-17 18:52:07,0.171s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-17 18:52:07,2017-09-17 18:53:21,1m - 13.889s,FAILED
delay,Chrome 60.0.3112.113,Delay 1 second,2017-09-17 18:52:07,2017-09-17 18:52:17,10.004s,PASSED
mouseOver,Chrome 60.0.3112.113,Mouse Hover On Requisition Menu,2017-09-17 18:52:17,2017-09-17 18:52:18,0.121s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 18:52:18,2017-09-17 18:52:20,2.003s,PASSED
mouseOver,Chrome 60.0.3112.113,Mouse Hover On Create Requisition Sub Menu,2017-09-17 18:52:20,2017-09-17 18:52:20,0.180s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 18:52:20,2017-09-17 18:52:22,2.003s,PASSED
mouseOver,Chrome 60.0.3112.113,Mouse Hover On Create Material Requisition Sub Sub-Menu,2017-09-17 18:52:22,2017-09-17 18:52:22,0.121s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 18:52:22,2017-09-17 18:52:24,2.002s,PASSED
click,Chrome 60.0.3112.113,Click On Create Material Requisition,2017-09-17 18:52:24,2017-09-17 18:52:24,0.135s,PASSED
waitForPageLoad,Chrome 60.0.3112.113,,2017-09-17 18:52:24,2017-09-17 18:52:24,0.043s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:52:24,2017-09-17 18:52:26,1.694s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 18:52:26,2017-09-17 18:52:26,0.323s,PASSED
