Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-16 12:18:50,2017-09-16 12:20:26,1m - 35.701s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-16 12:18:51,2017-09-16 12:19:03,12.720s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-16 12:18:51,2017-09-16 12:18:54,2.626s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-16 12:18:54,2017-09-16 12:18:55,1.165s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-16 12:18:55,2017-09-16 12:19:03,7.936s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 12:19:03,2017-09-16 12:19:03,0.337s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 12:19:03,2017-09-16 12:19:03,0.126s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 12:19:03,2017-09-16 12:19:03,0.169s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-16 12:19:03,2017-09-16 12:20:25,1m - 21.488s,FAILED
waitForPageLoad,Chrome 60.0.3112.113,,2017-09-16 12:19:04,2017-09-16 12:20:25,1m - 21.177s,FAILED
