Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite-CreateMaterialRequisition,Chrome 61.0.3163.100,,2017-10-14 00:38:56,2017-10-14 00:44:16,5m - 20.398s,FAILED
,,,,,,
Test Cases/Login,Chrome 61.0.3163.100,,2017-10-14 00:38:56,2017-10-14 00:39:08,11.390s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-14 00:38:57,2017-10-14 00:39:00,2.795s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-14 00:39:00,2017-10-14 00:39:01,1.178s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-14 00:39:01,2017-10-14 00:39:07,6.221s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-14 00:39:07,2017-10-14 00:39:07,0.334s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-14 00:39:07,2017-10-14 00:39:08,0.163s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 00:39:08,2017-10-14 00:39:08,0.158s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 61.0.3163.100,,2017-10-14 00:39:08,2017-10-14 00:39:51,42.783s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 00:39:08,2017-10-14 00:39:13,5.045s,PASSED
takeScreenshot,Chrome 61.0.3163.100,,2017-10-14 00:39:13,2017-10-14 00:39:50,36.757s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 00:39:50,2017-10-14 00:39:50,0.275s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 00:39:50,2017-10-14 00:39:50,0.143s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 00:39:50,2017-10-14 00:39:51,0.131s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 61.0.3163.100,,2017-10-14 00:39:51,2017-10-14 00:44:15,4m - 24.739s,FAILED
delay,Chrome 61.0.3163.100,Delay 1 second,2017-10-14 00:39:51,2017-10-14 00:39:53,2.002s,PASSED
mouseOver,Chrome 61.0.3163.100,Mouse Hover On Requisition Menu,2017-10-14 00:39:53,2017-10-14 00:39:53,0.268s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 00:39:53,2017-10-14 00:39:55,2.001s,PASSED
mouseOver,Chrome 61.0.3163.100,Mouse Hover On Create Requisition Sub Menu,2017-10-14 00:39:55,2017-10-14 00:39:55,0.065s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 00:39:55,2017-10-14 00:39:57,2.001s,PASSED
mouseOver,Chrome 61.0.3163.100,Mouse Hover On Create Material Requisition Sub Sub-Menu,2017-10-14 00:39:57,2017-10-14 00:39:57,0.055s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 00:39:57,2017-10-14 00:39:59,2.004s,PASSED
takeScreenshot,Chrome 61.0.3163.100,,2017-10-14 00:39:59,2017-10-14 00:40:00,0.340s,PASSED
click,Chrome 61.0.3163.100,Click On Create Material Requisition,2017-10-14 00:40:00,2017-10-14 00:40:00,0.096s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-14 00:40:00,2017-10-14 00:40:00,0.069s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 00:40:00,2017-10-14 00:40:02,2.284s,PASSED
setText,Chrome 61.0.3163.100,Input Material Requisition Name,2017-10-14 00:40:02,2017-10-14 00:40:02,0.383s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 00:40:02,2017-10-14 00:40:02,0.101s,PASSED
setText,Chrome 61.0.3163.100,Click Material Requisition Request To Field,2017-10-14 00:40:02,2017-10-14 00:40:03,0.324s,PASSED
click,Chrome 61.0.3163.100,Select Material Requisition Request To Field,2017-10-14 00:40:03,2017-10-14 00:40:04,1.130s,PASSED
click,Chrome 61.0.3163.100,,2017-10-14 00:40:04,2017-10-14 00:40:04,0.125s,PASSED
setText,Chrome 61.0.3163.100,Input Receiver Name,2017-10-14 00:40:04,2017-10-14 00:40:04,0.207s,PASSED
click,Chrome 61.0.3163.100,Select Receiver,2017-10-14 00:40:04,2017-10-14 00:40:05,1.129s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 00:40:05,2017-10-14 00:40:07,2.003s,PASSED
setText,Chrome 61.0.3163.100,Input orginal Requester,2017-10-14 00:40:07,2017-10-14 00:40:08,0.246s,PASSED
setText,Chrome 61.0.3163.100,Input Phone Number,2017-10-14 00:40:08,2017-10-14 00:40:08,0.234s,PASSED
setText,Chrome 61.0.3163.100,Input Remarks,2017-10-14 00:40:08,2017-10-14 00:40:08,0.302s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 00:40:08,2017-10-14 00:40:09,1.004s,PASSED
click,Chrome 61.0.3163.100,Click On Item Details,2017-10-14 00:40:09,2017-10-14 00:40:09,0.206s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-14 00:40:09,2017-10-14 00:40:10,1.003s,PASSED
click,Chrome 61.0.3163.100,Click CC Filed,2017-10-14 00:40:10,2017-10-14 00:40:11,0.413s,FAILED
waitForAngularLoad,Chrome 61.0.3163.100,,2017-10-14 00:40:11,2017-10-14 00:40:11,0.035s,PASSED
click,Chrome 61.0.3163.100,Select CC Name,2017-10-14 00:40:11,2017-10-14 00:40:28,16.757s,FAILED
