Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite-CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-17 18:04:24,2017-09-17 18:09:51,5m - 26.148s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-17 18:04:25,2017-09-17 18:04:41,16.244s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-17 18:04:25,2017-09-17 18:04:28,2.656s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-17 18:04:28,2017-09-17 18:04:29,1.161s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-17 18:04:29,2017-09-17 18:04:40,11.489s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 18:04:40,2017-09-17 18:04:41,0.267s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 18:04:41,2017-09-17 18:04:41,0.122s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:04:41,2017-09-17 18:04:41,0.136s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-17 18:04:41,2017-09-17 18:04:52,11.209s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 18:04:41,2017-09-17 18:04:46,5.020s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:04:46,2017-09-17 18:04:48,1.615s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:04:48,2017-09-17 18:04:52,4.267s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:04:52,2017-09-17 18:04:52,0.102s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-17 18:04:52,2017-09-17 18:09:49,4m - 57.270s,FAILED
delay,Chrome 60.0.3112.113,Delay 1 second,2017-09-17 18:04:52,2017-09-17 18:05:02,10.002s,PASSED
mouseOver,Chrome 60.0.3112.113,Mouse Hover On Requisition Menu,2017-09-17 18:05:02,2017-09-17 18:05:02,0.063s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 18:05:02,2017-09-17 18:05:04,2.001s,PASSED
mouseOver,Chrome 60.0.3112.113,Mouse Hover On Create Requisition Sub Menu,2017-09-17 18:05:04,2017-09-17 18:05:05,0.160s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 18:05:05,2017-09-17 18:05:07,2.002s,PASSED
mouseOver,Chrome 60.0.3112.113,Mouse Hover On Create Material Requisition Sub Sub-Menu,2017-09-17 18:05:07,2017-09-17 18:05:07,0.090s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 18:05:07,2017-09-17 18:05:09,2.002s,PASSED
click,Chrome 60.0.3112.113,Click On Create Material Requisition,2017-09-17 18:05:09,2017-09-17 18:05:09,0.106s,PASSED
waitForPageLoad,Chrome 60.0.3112.113,,2017-09-17 18:05:09,2017-09-17 18:05:09,0.057s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:05:09,2017-09-17 18:05:15,5.940s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 18:05:15,2017-09-17 18:05:15,0.351s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:05:15,2017-09-17 18:05:15,0.091s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 18:05:15,2017-09-17 18:05:15,0.198s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:05:15,2017-09-17 18:05:17,1.646s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:05:17,2017-09-17 18:05:17,0.109s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 18:05:17,2017-09-17 18:05:17,0.220s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:05:17,2017-09-17 18:05:18,0.214s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 18:05:18,2017-09-17 18:05:20,2.002s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 18:05:20,2017-09-17 18:05:20,0.277s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 18:05:20,2017-09-17 18:05:20,0.241s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 18:05:20,2017-09-17 18:05:20,0.274s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 18:05:20,2017-09-17 18:05:21,1.003s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:05:21,2017-09-17 18:05:22,0.244s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 18:05:22,2017-09-17 18:05:23,1.003s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:05:23,2017-09-17 18:05:23,0.151s,PASSED
waitForAngularLoad,Chrome 60.0.3112.113,,2017-09-17 18:05:23,2017-09-17 18:05:54,30.800s,FAILED
click,Chrome 60.0.3112.113,,2017-09-17 18:05:54,2017-09-17 18:06:11,17.457s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-17 18:06:11,2017-09-17 18:06:12,1.001s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:06:12,2017-09-17 18:06:13,0.512s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-17 18:06:13,2017-09-17 18:06:15,2.001s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:06:15,2017-09-17 18:07:07,52.358s,FAILED
waitForAngularLoad,Chrome 60.0.3112.113,,2017-09-17 18:07:07,2017-09-17 18:07:09,2.037s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 18:07:09,2017-09-17 18:07:25,15.859s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-17 18:07:25,2017-09-17 18:07:27,2.002s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:07:27,2017-09-17 18:07:43,16.035s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-17 18:07:43,2017-09-17 18:07:45,2.002s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:07:45,2017-09-17 18:08:02,16.993s,FAILED
waitForAngularLoad,Chrome 60.0.3112.113,,2017-09-17 18:08:02,2017-09-17 18:08:02,0.010s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:08:02,2017-09-17 18:08:18,15.727s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-17 18:08:18,2017-09-17 18:08:19,1.003s,PASSED
selectOptionByValue,Chrome 60.0.3112.113,,2017-09-17 18:08:19,2017-09-17 18:08:35,15.976s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-17 18:08:35,2017-09-17 18:08:36,1.002s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 18:08:36,2017-09-17 18:08:52,15.978s,FAILED
