Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-17 14:08:40,2017-09-17 14:09:34,54.887s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-17 14:08:40,2017-09-17 14:08:48,8.135s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-17 14:08:40,2017-09-17 14:08:43,2.619s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-17 14:08:43,2017-09-17 14:08:44,1.160s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-17 14:08:44,2017-09-17 14:08:47,3.380s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 14:08:47,2017-09-17 14:08:48,0.333s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 14:08:48,2017-09-17 14:08:48,0.121s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:08:48,2017-09-17 14:08:48,0.124s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-17 14:08:48,2017-09-17 14:08:54,5.626s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 14:08:48,2017-09-17 14:08:53,5.022s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:08:53,2017-09-17 14:08:53,0.144s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:08:53,2017-09-17 14:08:54,0.103s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:08:54,2017-09-17 14:08:54,0.116s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-17 14:08:54,2017-09-17 14:09:33,39.615s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-17 14:08:54,2017-09-17 14:09:04,10.002s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 14:09:04,2017-09-17 14:09:04,0.106s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 14:09:04,2017-09-17 14:09:06,2.001s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 14:09:06,2017-09-17 14:09:06,0.182s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 14:09:06,2017-09-17 14:09:08,2.002s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 14:09:08,2017-09-17 14:09:08,0.093s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 14:09:08,2017-09-17 14:09:10,2.002s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:09:10,2017-09-17 14:09:10,0.105s,PASSED
waitForPageLoad,Chrome 60.0.3112.113,,2017-09-17 14:09:10,2017-09-17 14:09:10,0.061s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:09:10,2017-09-17 14:09:12,1.695s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 14:09:12,2017-09-17 14:09:13,0.383s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:09:13,2017-09-17 14:09:13,0.095s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 14:09:13,2017-09-17 14:09:13,0.220s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:09:13,2017-09-17 14:09:14,1.492s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 14:09:14,2017-09-17 14:09:15,0.220s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 14:09:15,2017-09-17 14:09:15,0.217s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 14:09:15,2017-09-17 14:09:15,0.260s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:09:15,2017-09-17 14:09:15,0.222s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 14:09:15,2017-09-17 14:09:33,18.067s,FAILED
