Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-17 12:47:02,2017-09-17 12:47:38,35.576s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-17 12:47:02,2017-09-17 12:47:14,11.402s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-17 12:47:03,2017-09-17 12:47:06,2.728s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-17 12:47:06,2017-09-17 12:47:07,1.135s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-17 12:47:07,2017-09-17 12:47:13,6.525s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 12:47:13,2017-09-17 12:47:14,0.272s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-17 12:47:14,2017-09-17 12:47:14,0.157s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:47:14,2017-09-17 12:47:14,0.138s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-17 12:47:14,2017-09-17 12:47:19,5.525s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 12:47:14,2017-09-17 12:47:19,5.017s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:47:19,2017-09-17 12:47:19,0.150s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:47:19,2017-09-17 12:47:19,0.087s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:47:19,2017-09-17 12:47:19,0.115s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-17 12:47:20,2017-09-17 12:47:37,17.096s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-17 12:47:20,2017-09-17 12:47:30,10.003s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 12:47:30,2017-09-17 12:47:30,0.096s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 12:47:30,2017-09-17 12:47:32,2.003s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 12:47:32,2017-09-17 12:47:32,0.184s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 12:47:32,2017-09-17 12:47:34,2.003s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-17 12:47:34,2017-09-17 12:47:34,0.157s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-17 12:47:34,2017-09-17 12:47:36,2.001s,PASSED
click,Chrome 60.0.3112.113,,2017-09-17 12:47:36,2017-09-17 12:47:37,0.514s,FAILED
