Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Firefox 53.0,,2017-09-17 12:42:59,2017-09-17 12:43:46,46.425s,FAILED
,,,,,,
Test Cases/Login,Firefox 53.0,,2017-09-17 12:43:00,2017-09-17 12:43:12,12.507s,PASSED
openBrowser,Firefox 53.0,,2017-09-17 12:43:00,2017-09-17 12:43:05,5.371s,PASSED
maximizeWindow,Firefox 53.0,,2017-09-17 12:43:05,2017-09-17 12:43:06,0.229s,PASSED
navigateToUrl,Firefox 53.0,,2017-09-17 12:43:06,2017-09-17 12:43:07,1.042s,PASSED
setText,Firefox 53.0,,2017-09-17 12:43:07,2017-09-17 12:43:11,4.773s,PASSED
setText,Firefox 53.0,,2017-09-17 12:43:11,2017-09-17 12:43:12,0.350s,PASSED
click,Firefox 53.0,,2017-09-17 12:43:12,2017-09-17 12:43:12,0.364s,PASSED
,,,,,,
Test Cases/SelectRole,Firefox 53.0,,2017-09-17 12:43:12,2017-09-17 12:43:18,6.043s,PASSED
delay,Firefox 53.0,,2017-09-17 12:43:12,2017-09-17 12:43:18,5.047s,PASSED
click,Firefox 53.0,,2017-09-17 12:43:18,2017-09-17 12:43:18,0.234s,PASSED
click,Firefox 53.0,,2017-09-17 12:43:18,2017-09-17 12:43:18,0.279s,PASSED
click,Firefox 53.0,,2017-09-17 12:43:18,2017-09-17 12:43:18,0.193s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Firefox 53.0,,2017-09-17 12:43:18,2017-09-17 12:43:45,27.007s,FAILED
delay,Firefox 53.0,,2017-09-17 12:43:18,2017-09-17 12:43:28,10.004s,PASSED
mouseOver,Firefox 53.0,,2017-09-17 12:43:28,2017-09-17 12:43:45,16.888s,FAILED
