Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite-CreateMaterialRequisition,JBrowser (headless),,2017-10-14 00:03:59,2017-10-14 00:16:09,12m - 10.401s,FAILED
,,,,,,
Test Cases/Login,JBrowser (headless),,2017-10-14 00:03:59,2017-10-14 00:04:18,18.450s,FAILED
openBrowser,JBrowser (headless),,2017-10-14 00:04:00,2017-10-14 00:04:05,4.975s,PASSED
maximizeWindow,JBrowser (headless),,2017-10-14 00:04:05,2017-10-14 00:04:05,0.215s,PASSED
navigateToUrl,JBrowser (headless),,2017-10-14 00:04:05,2017-10-14 00:04:13,7.568s,PASSED
setText,JBrowser (headless),,2017-10-14 00:04:13,2017-10-14 00:04:15,2.182s,PASSED
setText,JBrowser (headless),,2017-10-14 00:04:15,2017-10-14 00:04:16,0.803s,PASSED
click,JBrowser (headless),,2017-10-14 00:04:16,2017-10-14 00:04:16,0.154s,PASSED
verifyTextPresent,JBrowser (headless),,2017-10-14 00:04:16,2017-10-14 00:04:18,1.856s,FAILED
,,,,,,
Test Cases/SelectRole,JBrowser (headless),,2017-10-14 00:04:18,2017-10-14 00:05:10,51.621s,FAILED
delay,JBrowser (headless),,2017-10-14 00:04:18,2017-10-14 00:04:23,5.032s,PASSED
takeScreenshot,JBrowser (headless),,2017-10-14 00:04:23,2017-10-14 00:04:24,0.217s,PASSED
click,JBrowser (headless),,2017-10-14 00:04:24,2017-10-14 00:04:39,15.339s,FAILED
click,JBrowser (headless),,2017-10-14 00:04:39,2017-10-14 00:04:54,15.299s,FAILED
click,JBrowser (headless),,2017-10-14 00:04:54,2017-10-14 00:05:10,15.292s,FAILED
,,,,,,
Test Cases/CreateMaterialRequisition,JBrowser (headless),,2017-10-14 00:05:10,2017-10-14 00:16:09,10m - 58.941s,FAILED
delay,JBrowser (headless),Delay 1 second,2017-10-14 00:05:10,2017-10-14 00:05:12,2.005s,PASSED
mouseOver,JBrowser (headless),Mouse Hover On Requisition Menu,2017-10-14 00:05:12,2017-10-14 00:05:27,15.273s,FAILED
